"article","nom","genre","unite"
"densite","la ","densité","","indiv.100~m^{-2}"
"biomasse","la ","biomasse","f","g.100~m^{-2}"
"nombre","le ","nombre","m","indiv"
"poids","le ","poids","m","g"
"poids_moyen","le ","poids moyen","m","g"
"pres_abs","les ","présences/absence","fp",""
"taille_moy","la ","taille moyenne","f","cm"
"AMP","l'","AMP","f",""
"an","l'","année","f",""
"avant_apres","","avant_apres","",""
"biotope","le ","biotope","m",""
"biotope_2","le ","biotope 2","m",""
"caracteristique_1","la ","caracteristique 1","f",""
"caracteristique_2","la ","caracteristique 2","f",""
"courant","le ","courant","m",""
"DimObs1","","DimObs1","",""
"DimObs2","","DimObs2","",""
"direction_vent","la ","direction du vent","f",""
"etat_mer","l'","état de la mer","m",""
"force_vent","la ","force du vent","f",""
"fraction_echantillonnee","la ","fraction échantillonnée","f",""
"habitat1","","habitat1","",""
"habitat2","","habitat2","",""
"habitat3","","habitat3","",""
"heure","l'","heure","f",""
"jour","le ","jour","m",""
"latitude","la ","latitude","f",""
"longitude","la ","longitude","f",""
"maree","","maree","",""
"mois","le ","mois","m",""
"nb_plong","","nb_plong","",""
"nebulosite","la ","nébulosité","f",""
"phase_lunaire","la ","phase lunaire","f",""
"plongeur","","plongeur","",""
"prof_max","la ","profondeur maximale","f",""
"prof_min","la ","profondeur minimale","f",""
"site","le ","site","m",""
"station","la ","station","f",""
"statut_protection","le ","statut de protection","m",""
"type","","type","",""
"unite_observation","","unite_observation","",""
"visibilite","","visibilite","",""
"agreg.saison","","agreg.saison","",""
"autre.statutBA","","autre.statutBA","",""
"autre.statutBO","","autre.statutBO","",""
"autre.statutCB","","autre.statutCB","",""
"autre.statutCR","","autre.statutCR","",""
"autre.statutMAY","","autre.statutMAY","",""
"autre.statutNC","","autre.statutNC","",""
"autre.statutRUN","","autre.statutRUN","",""
"autre.statutSTM","","autre.statutSTM","",""
"Cath_benthique","la ","catégorie benthique","f",""
"Changement.sexe","","Changement.sexe","",""
"Classe","la ","Classe","f",""
"code_espece","le ","code espèce","m",""
"CodeFAO","le ","code FAO","m",""
"CodeFB","le ","code FB","m",""
"CodeSIH","le ","code SIH","m",""
"Coeff.a.MAY","","Coeff.a.MAY","",""
"Coeff.a.Med","","Coeff.a.Med","",""
"Coeff.a.NC","","Coeff.a.NC","",""
"Coeff.b.MAY","","Coeff.b.MAY","",""
"Coeff.b.Med","","Coeff.b.Med","",""
"Coeff.b.NC","","Coeff.b.NC","",""
"comportement.grp","","comportement.grp","",""
"cryptique","","cryptique","",""
"emblematiqueBA","","emblematiqueBA","",""
"emblematiqueBO","","emblematiqueBO","",""
"emblematiqueCB","","emblematiqueCB","",""
"emblematiqueCR","","emblematiqueCR","",""
"emblematiqueMAY","","emblematiqueMAY","",""
"emblematiqueNC","","emblematiqueNC","",""
"emblematiqueRUN","","emblematiqueRUN","",""
"emblematiqueSTM","","emblematiqueSTM","",""
"endemiqueBA","","endemiqueBA","",""
"endemiqueBO","","endemiqueBO","",""
"endemiqueCB","","endemiqueCB","",""
"endemiqueCR","","endemiqueCR","",""
"endemiqueMAY","","endemiqueMAY","",""
"endemiqueNC","","endemiqueNC","",""
"endemiqueRUN","","endemiqueRUN","",""
"endemiqueSTM","","endemiqueSTM","",""
"espece","","espece","",""
"etat.pop.localBA","","etat.pop.localBA","",""
"etat.pop.localBO","","etat.pop.localBO","",""
"etat.pop.localCB","","etat.pop.localCB","",""
"etat.pop.localCR","","etat.pop.localCR","",""
"etat.pop.localMAY","","etat.pop.localMAY","",""
"etat.pop.localNC","","etat.pop.localNC","",""
"etat.pop.localRUN","","etat.pop.localRUN","",""
"etat.pop.localSTM","","etat.pop.localSTM","",""
"Famille","la ","Famille","f",""
"Genre","le ","Genre","m",""
"GrSIH","le ","Groupe SIH","m",""
"Habitat.Prefere","l'","habitat préféré","m",""
"Identifiant","l'","identifiant","m",""
"interet.casierBA","","interet.casierBA","",""
"interet.casierBO","","interet.casierBO","",""
"interet.casierCB","","interet.casierCB","",""
"interet.casierCR","","interet.casierCR","",""
"interet.casierMAY","","interet.casierMAY","",""
"interet.casierNC","","interet.casierNC","",""
"interet.casierRUN","","interet.casierRUN","",""
"interet.casierSTM","","interet.casierSTM","",""
"interet.chasseBA","","interet.chasseBA","",""
"interet.chasseBO","","interet.chasseBO","",""
"interet.chasseCB","","interet.chasseCB","",""
"interet.chasseCR","","interet.chasseCR","",""
"interet.chasseMAY","","interet.chasseMAY","",""
"interet.chasseNC","","interet.chasseNC","",""
"interet.chasseRUN","","interet.chasseRUN","",""
"interet.chasseSTM","","interet.chasseSTM","",""
"interet.filetBA","","interet.filetBA","",""
"interet.filetBO","","interet.filetBO","",""
"interet.filetCB","","interet.filetCB","",""
"interet.filetCR","","interet.filetCR","",""
"interet.filetMAY","","interet.filetMAY","",""
"interet.filetNC","","interet.filetNC","",""
"interet.filetRUN","","interet.filetRUN","",""
"interet.filetSTM","","interet.filetSTM","",""
"interet.ligneBA","","interet.ligneBA","",""
"interet.ligneBO","","interet.ligneBO","",""
"interet.ligneCB","","interet.ligneCB","",""
"interet.ligneCR","","interet.ligneCR","",""
"interet.ligneMAY","","interet.ligneMAY","",""
"interet.ligneNC","","interet.ligneNC","",""
"interet.ligneRUN","","interet.ligneRUN","",""
"interet.ligneSTM","","interet.ligneSTM","",""
"interet.piedBA","","interet.piedBA","",""
"interet.piedBO","","interet.piedBO","",""
"interet.piedCB","","interet.piedCB","",""
"interet.piedCR","","interet.piedCR","",""
"interet.piedMAY","","interet.piedMAY","",""
"interet.piedNC","","interet.piedNC","",""
"interet.piedRUN","","interet.piedRUN","",""
"interet.piedSTM","","interet.piedSTM","",""
"interetComMAY","","interetComMAY","",""
"IssCaap","","IssCaap","",""
