,en,fr,current
observation.unit,observation.unit,unite.observation,unite_observation
sector,sector,secteur,secteur
species.code,species.code,code.espece,code_espece
sex,sex,sexe,sexe
length,length,longueur,taille
size.class,size.class,classe.taille,classe_taille
weight,weight,poids,poids
number,number,nombre,nombre
min.distance,min.distance,dist.min.,dmin
max.distance,max.distance,dist.max,dmax
rotation,rotation,rotation,rotation
spawnings,spawnings,pontes,pontes
tracks.number,tracks.number,nombre.traces,nombre.traces
study.area,study.area,cas.etude,cas.etude
observation.type,observation.type,type.observation,type
site,site,site,site
station,station,station,station
geogr.descriptor1,geogr.descriptor1,caracteristique.1,caracteristique_1
geogr.descriptor2,geogr.descriptor2,caracteristique.2,caracteristique_2
sampling.rate,sampling.rate,fraction.echantillonnee,fraction_echantillonnee
day,day,jour,jour
month,month,mois,mois
year,year,an,an
hour,hour,heure,heure
cloud.cover,cloud.cover,nebulosite,nebulosite
wind.direction,wind.direction,direction.vent,direction_vent
wind.strength,wind.strength,force.vent,force_vent
sea.condition,sea.condition,etat.mer,etat_mer
current,current,courant,courant
tide,tide,maree,maree
moon.phase,moon.phase,phase.lunaire,phase_lunaire
latitude,latitude,latitude,latitude
longitude,longitude,longitude,longitude
protection.status,protection.status,statut.protection,statut_protection
before.after,before.after,avant.apres,avant_apres
biotop,biotop,biotope,biotope
biotop.2,biotop.2,biotope.2,biotope_2
habitat1,habitat1,habitat1,habitat1
habitat2,habitat2,habitat2,habitat2
habitat3,habitat3,habitat3,habitat3
visibility,visibility,visibilite,visibilite
min.depth,min.depth,prof.min,prof_min
max.depth,max.depth,prof.max,prof_max
obs.dim1,obs.dim1,DimObs1,DimObs1
obs.dim2,obs.dim2,DimObs2,DimObs2
nb.divers,nb.divers,nb.plong,nb_plong
diver,diver,plongeur,plongeur
SIH.group.code,SIH.group.code,groupe.espece.SIH,GrSIH
SIH.species.code,SIH.species.code,code.espece.SIH,CodeSIH
ISSCAAP.group,ISSCAAP.group,groupe.ISSCAAP,IssCaap
taxo.code,taxo.code,code.taxo,TaxoCode
FAO.code,FAO.code,code.FAO,CodeFAO
FishBase.code,FishBase.code,code.FishBase,CodeFB
phylum,phylum,Phylum,Phylum
benthic.categ,benthic.categ,categ.benth,Cat_benthique
class,class,Classe,Classe
order,order,Ordre,Ordre
family,family,Famille,Famille
genus,genus,Genre,Genre
species,species,espece,espece
scient.name,scient.name,nom.scientifique,Identifiant
Lmax,Lmax,Lmax,taillemax
L50,L50,L50,L50
cryptic,cryptic,cryptique,cryptique
mobility,mobility,mobilite,mobilite
territorial,territorial,territorial,territorial
day.night.act,day-night.act,act.jour-nuit,nocturne
aggreg.behaviour,aggreg.behaviour,gregarite,comportement.grp
seasonal.aggreg,seasonal.aggreg,agreg.saison,agreg.saison
water.column.position,water.column.position,position.col.eau,position.col.eau
demogr.strategy,demogr.strategy,strategie.demogr,strategie.demo
spawning.type,spawning.type,type.ponte,Type.ponte
preferred.habitat,preferred.habitat,habitat.prefere,Habitat.Prefere
sex.change,sex.change,changement.sexe,Changement.sexe
adult.diet,adult.diet,regime.alim.adulte,regim.alim
IUCN.status,IUCN.status,statut.UICN,stat.IUCN
a.coeff,a.coeff,Coeff.a,Coeff.a
b.coeff,b.coeff,Coeff.b,Coeff.b
