ID,article,nom,genre,unite
seasonal.aggreg,,seasonal.aggreg,,
MPA,the ,MPA,,
year,the ,year,,
annee.campagne,the ,year of campaign,,
autre.statutBA,,misc.statusBA,,
autre.statutBO,,misc.statusBO,,
autre.statutCB,,misc.statusCB,,
autre.statutCR,,misc.statusCR,,
autre.statutMAY,,misc.statusMAY,,
autre.statutNC,,misc.statusNC,,
autre.statutRUN,,misc.statusRUN,,
autre.statutSTM,,misc.statusSTM,,
before.after,,before / after,,
biomass,the ,biomass,,g.100~m^{-2}
Biomass,the ,biomass,,kg.km^{-2}
biomass.max,the ,maximum biomass,,g.100~m^{-2}
biomass.sd,the ,biomass  standard error,,
biotop,the ,biotop,,
biotop.2,the ,biotop 2,,
geogr.descriptor1,the ,characteristic 1,,
geogr.descriptor2,the ,characteristic 2,,
study.area,the ,case study,,
benthic.categ,the ,benthic category,,
CategB_general,the ,CategB_general,,
CategB_groupe,the ,CategB_group,,
sex.change,,Hermaphrodite,,
class,the ,Class,,
size.class,the ,size class,,
species.code,the ,species code,,
FAO.code,the ,FAO code,,
FishBase.code,the ,FB code,,
SIH.species.code,the ,SIH species code,,
a.coeff,,a.coeff,,
Coeff.a.MAY,,a.coeff.MAY,,
Coeff.a.Med,,a.coeff.Med,,
Coeff.a.NC,,a.coeff.NC,,
b.coeff,,b.coeff,,
Coeff.b.MAY,,b.coeff.MAY,,
Coeff.b.Med,,b.coeff.Med,,
Coeff.b.NC,,b.coeff.NC,,
colonies,le,colony number,,
aggreg.behaviour,,aggreg.behaviour,,
current,the ,current,,
CPUE,the ,CPUE,,ind.UE^{-1}
CPUE.biomass,the ,CPUE (biomass),,g.UE^{-1}
cryptic,,cryptic,,
Delta,the ,Delta,,
DeltaStar,the ,Delta*,,
DeltaPlus,the ,Delta+,,
density,the ,density,,ind.100~m^{-2}
Density,the ,density,,ind.km^{-2}
density.max,the ,maximum density,,ind.100~m^{-2}
density.sd,the ,density standard error,,
obs.dim1,,obs.dim1,,
obs.dim2,,obs.dim2,,
wind.direction,the ,wind direction,,
emblematique,,emblematiqueBA,,
emblematiqueBA,,emblematiqueBA,,
emblematiqueBO,,emblematiqueBO,,
emblematiqueCB,,emblematiqueCB,,
emblematiqueCR,,emblematiqueCR,,
emblematiqueMAY,,emblematiqueMAY,,
emblematiqueNC,,emblematiqueNC,,
emblematiqueRUN,,emblematiqueRUN,,
emblematiqueSTM,,emblematiqueSTM,,
endemique,,endemicBA,,
endemiqueBA,,endemicBA,,
endemiqueBO,,endemicBO,,
endemiqueCB,,endemicCB,,
endemiqueCR,,endemicCR,,
endemiqueMAY,,endemicMAY,,
endemiqueNC,,endemicNC,,
endemiqueRUN,,endemicRUN,,
endemiqueSTM,,endemicSTM,,
species,,species,,
sea.condition,the ,sea state,,
etat.pop.local,,etat.pop.localBA,,
etat.pop.localBA,,etat.pop.localBA,,
etat.pop.localBO,,etat.pop.localBO,,
etat.pop.localCB,,etat.pop.localCB,,
etat.pop.localCR,,etat.pop.localCR,,
etat.pop.localMAY,,etat.pop.localMAY,,
etat.pop.localNC,,etat.pop.localNC,,
etat.pop.localRUN,,etat.pop.localRUN,,
etat.pop.localSTM,,etat.pop.localSTM,,
family,the ,family,,
wind.strength,the ,wind force,,
sampling.rate,the ,sampled fraction,,
occurrence.frequency,the ,occurrence frequency,,'%'
genus,the ,genus,,
SIH.group.code,the ,Groupe SIH,,
preferred.habitat,the ,preferred habitat,,
habitat1,the ,habitat,,
habitat2,the ,habitat 2,,
habitat3,the ,habitat 3,,
hour,the ,hour,,
hill,the ,Hill's index,,
scient.name,the ,scientific name,,
interet.casier,,interet.casier,,
interet.casierBA,,interet.casierBA,,
interet.casierBO,,interet.casierBO,,
interet.casierCB,,interet.casierCB,,
interet.casierCR,,interet.casierCR,,
interet.casierMAY,,interet.casierMAY,,
interet.casierNC,,interet.casierNC,,
interet.casierRUN,,interet.casierRUN,,
interet.casierSTM,,interet.casierSTM,,
interet.chasse,,interest for hunting,,
interet.chasseBA,,interet.chasseBA,,
interet.chasseBO,,interet.chasseBO,,
interet.chasseCB,,interet.chasseCB,,
interet.chasseCR,,interet.chasseCR,,
interet.chasseMAY,,interet.chasseMAY,,
interet.chasseNC,,interet.chasseNC,,
interet.chasseRUN,,interet.chasseRUN,,
interet.chasseSTM,,interet.chasseSTM,,
interet.filet,,interet.filet,,
interet.filetBA,,interet.filetBA,,
interet.filetBO,,interet.filetBO,,
interet.filetCB,,interet.filetCB,,
interet.filetCR,,interet.filetCR,,
interet.filetMAY,,interet.filetMAY,,
interet.filetNC,,interet.filetNC,,
interet.filetRUN,,interet.filetRUN,,
interet.filetSTM,,interet.filetSTM,,
interet.ligne,,interet.ligne,,
interet.ligneBA,,interet.ligneBA,,
interet.ligneBO,,interet.ligneBO,,
interet.ligneCB,,interet.ligneCB,,
interet.ligneCR,,interet.ligneCR,,
interet.ligneMAY,,interet.ligneMAY,,
interet.ligneNC,,interet.ligneNC,,
interet.ligneRUN,,interet.ligneRUN,,
interet.ligneSTM,,interet.ligneSTM,,
interet.pied,,interet.pied,,
interet.piedBA,,interet.piedBA,,
interet.piedBO,,interet.piedBO,,
interet.piedCB,,interet.piedCB,,
interet.piedCR,,interet.piedCR,,
interet.piedMAY,,interet.piedMAY,,
interet.piedNC,,interet.piedNC,,
interet.piedRUN,,interet.piedRUN,,
interet.piedSTM,,interet.piedSTM,,
interetComMAY,,interetComMAY,,
interetCommercial,,interetCommercial,,
ISSCAAP.group,,ISSCAAP.group,,
day,the ,day,,
simpson.l,the ,Simpson's l,,
L50,the ,L50,,
LambdaPlus,the ,Lambda+,,
latitude,the ,latitude,,
longitude,the ,longitude,,
tide,the ,tide,,
mobility,the ,mobility,,
month,the ,month,,
nb.divers,the ,number of divers,,
cloud.cover,the ,cloud cover,,
taxo.level.a.and.b,,taxo.level.a.and.b,,
niveau.a.et.b.MAY,,taxo.level.a.and.b.MAY,,
niveau.a.et.b.MED,,taxo.level.a.and.b.MED,,
niveau.a.et.b.NC,,taxo.level.a.and.b.NC,,
day.night.act,,day.night.act,,
number,the ,number,,ind
tracks.number,the ,tracks number,,
number.max,the ,maximum number,,ind
number.sd,the ,standard error of number,,
OBJECTID,,OBJECTID,,
ObsBA,,ObsBA,,
ObsBO,,ObsBO,,
ObsCB,,ObsCB,,
ObsCR,,ObsCR,,
observed,,Observed,,
ObsMAY,,ObsMAY,,
ObsNC,,ObsNC,,
ObsRUN,,ObsRUN,,
ObsSTM,,ObsSTM,,
order,,Order,,
moon.phase,the ,moon phase,,
phylum,the ,Phylum,,
pielou,the ,Pielou's index,,
diver,the ,diver,,
weight,the ,weight,,g
mean.weight,the ,mean weight,,g
mean.weight.large,the ,poids moyen des gros,,
mean.weight.medium,the ,poids moyen des moyens,,
mean.weight.small,the ,poids moyen des petits,,
spawnings,the ,number of nests,,
water.column.position,the ,location in the water column,,
pres.abs,the ,presence/absence,,
max.depth,the ,maximum depth,,
min.depth,the ,minimal depth,,
abundance.prop.SC,the ,abundance proportions by size class,,'%'
biomass.prop.SC,the ,biomass proportion by size class,,'%'
coverage,the ,percent cover,,
adult.diet,the ,diet,,
spawning.success,the ,nesting success,,'%'
species.richness,the ,species richness,,
relative.SR.the ,relative species richness,,
relative.SR.data,the ,relative species richness (/ sp. from the data),,'%'
relative.SR.region,the ,relative species richness (/ sp. of the region),,'%'
relative.SR.region.phylum,the ,relative species richness (/ esp. of the region and phylum),,'%'
relative.SR.site,the ,relative species richness (/ species of the site),,'%'
relative.SR.site.phylum,the ,relative species richness (/ sp. of the site and phylum),,'%'
SDeltaPlus,the ,SDelta+,,
simpson,the ,Simpson's index,,
site,the ,site,,
IUCN.status,the ,IUCN status,,
IUCN.loc.status,the ,local IUCN status,,
station,the ,station,,
protection.status,the ,protection status,,
demogr.strategy,the ,demographic strategy,,
taille_max_moyens,the ,max size of medium,,cm
taille_max_petits,the ,max size of small,,cm
taille_moy,the ,mean size,,cm
mean.length,the ,mean size,,cm
mean.size.colonies,the ,mean size of colonies,,cm
Lmax,the ,maximum size,,cm
taxo.code,,taxo.code,,
territorial,,territorial,,
readable.tracks,the ,number of interpretable tracks,,
type,,type,,
spawning.type,the ,clutch type,,
observation.unit,the ,observation unit,,
visibility,the ,visibility,,
