benthic.categ,CategB_general,CategB_groupe
AA,PLANT,AA
ACB,CV,ACR
ACD,CV,ACR
ACE,CV,ACR
ACS,CV,ACR
ACT,CV,ACR
CA,PLANT,NACR
CB,CV,NACR
CBL,CV,CBL
CE,CV,NACR
CF,CV,NACR
CHL,CV,NACR
CM,CV,NACR
CME,CV,NACR
CMR,CV,NACR
CRE,CV,CRE
CS,CV,NACR
CTU,OT,ANTHOT
DC,ABIOT,ABIOT
DCA,ABIOT,ABIOT
FMA,PLANT,FMA
HC,CV,HC
HMA,PLANT,HMA
OT,OT,OT
R,ABIOT,ABIOT
RC,ABIOT,ABIOT
RKC,ABIOT,ABIOT
S,ABIOT,ABIOT
SC,OT,SC
SI,ABIOT,ABIOT
SP,OT,OT
TA,PLANT,TA
ZO,OT,ANTHOT
PHA,PLANT,PHA
GOR,OT,ANTHOT
