"ID","article";"nom";"genre";"unite"
"densite";"the ";"density";"";"ind.100~m^{-2}"
"biomasse";"the ";"biomass";"";"g.100~m^{-2}"
"nombre";"the ";"number";"";"ind"
"poids";"the ";"weight";"";"g"
"poids_moyen";"the ";"mean weight";"";"g"
"pres_abs";"the ";"presence/absence";"";""
"taille_moy";"the ";"mean size";"";"cm"
"AMP";"the ";"MPA";"";""
"an";"the ";"year";"";""
"avant_apres";"";"before_after";"";""
"biotope";"the ";"biotop";"";""
"biotope_2";"the ";"biotop 2";"";""
"caracteristique_1";"the ";"characteristic 1";"";""
"caracteristique_2";"the ";"characteristic 2";"";""
"courant";"the ";"current";"";""
"DimObs1";"";"DimObs1";"";""
"DimObs2";"";"DimObs2";"";""
"direction_vent";"the ";"wind direction";"";""
"etat_mer";"the ";"état de la mer";"";""
"force_vent";"the ";"wind force";"";""
"fraction_echantillonnee";"the ";"sampled fraction";"";""
"habitat1";"the ";"habitat";"";""
"habitat2";"the ";"habitat 2";"";""
"habitat3";"the ";"habitat 3";"";""
"heure";"the ";"hour";"";""
"jour";"the ";"day";"";""
"latitude";"the ";"latitude";"";""
"longitude";"the ";"longitude";"";""
"maree";"the ";"tide";"";""
"mois";"the ";"month";"";""
"nb_plong";"the ";"number of divers";"";""
"nebulosite";"the ";"nébulosité";"";""
"phase_lunaire";"the ";"phase lunaire";"";""
"plongeur";"the ";"diver";"";""
"prof_max";"the ";"maximum depth";"";""
"prof_min";"the ";"minimal depth";"";""
"site";"the ";"site";"";""
"station";"the ";"station";"";""
"statut_protection";"the ";"protection status";"";""
"type";"";"type";"";""
"unite_observation";"the ";"observation unit";"";""
"visibilite";"the ";"visibility";"";""
"agreg.saison";"";"agreg.saison";"";""
"autre.statutBA";"";"autre.statutBA";"";""
"autre.statutBO";"";"autre.statutBO";"";""
"autre.statutCB";"";"autre.statutCB";"";""
"autre.statutCR";"";"autre.statutCR";"";""
"autre.statutMAY";"";"autre.statutMAY";"";""
"autre.statutNC";"";"autre.statutNC";"";""
"autre.statutRUN";"";"autre.statutRUN";"";""
"autre.statutSTM";"";"autre.statutSTM";"";""
"Cat_benthique";"the ";"catégorie benthique";"";""
"Changement.sexe";"";"Changement.sexe";"";""
"Classe";"the ";"Class";"";""
"code_espece";"the ";"species code";"";""
"CodeFAO";"the ";"FAO code";"";""
"CodeFB";"the ";"FB code";"";""
"CodeSIH";"the ";"SIH code";"";""
"Coeff.a.MAY";"";"Coeff.a.MAY";"";""
"Coeff.a.Med";"";"Coeff.a.Med";"";""
"Coeff.a.NC";"";"Coeff.a.NC";"";""
"Coeff.b.MAY";"";"Coeff.b.MAY";"";""
"Coeff.b.Med";"";"Coeff.b.Med";"";""
"Coeff.b.NC";"";"Coeff.b.NC";"";""
"comportement.grp";"";"comportement.grp";"";""
"cryptique";"";"cryptic";"";""
"emblematiqueBA";"";"emblematiqueBA";"";""
"emblematiqueBO";"";"emblematiqueBO";"";""
"emblematiqueCB";"";"emblematiqueCB";"";""
"emblematiqueCR";"";"emblematiqueCR";"";""
"emblematiqueMAY";"";"emblematiqueMAY";"";""
"emblematiqueNC";"";"emblematiqueNC";"";""
"emblematiqueRUN";"";"emblematiqueRUN";"";""
"emblematiqueSTM";"";"emblematiqueSTM";"";""
"endemiqueBA";"";"endemicBA";"";""
"endemiqueBO";"";"endemicBO";"";""
"endemiqueCB";"";"endemicCB";"";""
"endemiqueCR";"";"endemicCR";"";""
"endemiqueMAY";"";"endemicMAY";"";""
"endemiqueNC";"";"endemicNC";"";""
"endemiqueRUN";"";"endemicRUN";"";""
"endemiqueSTM";"";"endemicSTM";"";""
"espece";"";"species";"";""
"etat.pop.localBA";"";"etat.pop.localBA";"";""
"etat.pop.localBO";"";"etat.pop.localBO";"";""
"etat.pop.localCB";"";"etat.pop.localCB";"";""
"etat.pop.localCR";"";"etat.pop.localCR";"";""
"etat.pop.localMAY";"";"etat.pop.localMAY";"";""
"etat.pop.localNC";"";"etat.pop.localNC";"";""
"etat.pop.localRUN";"";"etat.pop.localRUN";"";""
"etat.pop.localSTM";"";"etat.pop.localSTM";"";""
"Famille";"the ";"Famille";"";""
"Genre";"the ";"Genre";"";""
"GrSIH";"the ";"Groupe SIH";"";""
"Habitat.Prefere";"the ";"habitat préféré";"";""
"Identifiant";"the ";"identifiant";"";""
"interet.casierBA";"";"interet.casierBA";"";""
"interet.casierBO";"";"interet.casierBO";"";""
"interet.casierCB";"";"interet.casierCB";"";""
"interet.casierCR";"";"interet.casierCR";"";""
"interet.casierMAY";"";"interet.casierMAY";"";""
"interet.casierNC";"";"interet.casierNC";"";""
"interet.casierRUN";"";"interet.casierRUN";"";""
"interet.casierSTM";"";"interet.casierSTM";"";""
"interet.chasseBA";"";"interet.chasseBA";"";""
"interet.chasseBO";"";"interet.chasseBO";"";""
"interet.chasseCB";"";"interet.chasseCB";"";""
"interet.chasseCR";"";"interet.chasseCR";"";""
"interet.chasseMAY";"";"interet.chasseMAY";"";""
"interet.chasseNC";"";"interet.chasseNC";"";""
"interet.chasseRUN";"";"interet.chasseRUN";"";""
"interet.chasseSTM";"";"interet.chasseSTM";"";""
"interet.filetBA";"";"interet.filetBA";"";""
"interet.filetBO";"";"interet.filetBO";"";""
"interet.filetCB";"";"interet.filetCB";"";""
"interet.filetCR";"";"interet.filetCR";"";""
"interet.filetMAY";"";"interet.filetMAY";"";""
"interet.filetNC";"";"interet.filetNC";"";""
"interet.filetRUN";"";"interet.filetRUN";"";""
"interet.filetSTM";"";"interet.filetSTM";"";""
"interet.ligneBA";"";"interet.ligneBA";"";""
"interet.ligneBO";"";"interet.ligneBO";"";""
"interet.ligneCB";"";"interet.ligneCB";"";""
"interet.ligneCR";"";"interet.ligneCR";"";""
"interet.ligneMAY";"";"interet.ligneMAY";"";""
"interet.ligneNC";"";"interet.ligneNC";"";""
"interet.ligneRUN";"";"interet.ligneRUN";"";""
"interet.ligneSTM";"";"interet.ligneSTM";"";""
"interet.piedBA";"";"interet.piedBA";"";""
"interet.piedBO";"";"interet.piedBO";"";""
"interet.piedCB";"";"interet.piedCB";"";""
"interet.piedCR";"";"interet.piedCR";"";""
"interet.piedMAY";"";"interet.piedMAY";"";""
"interet.piedNC";"";"interet.piedNC";"";""
"interet.piedRUN";"";"interet.piedRUN";"";""
"interet.piedSTM";"";"interet.piedSTM";"";""
"interetComMAY";"";"interetComMAY";"";""
"IssCaap";"";"IssCaap";"";""
"L50";"the ";"L50";"";""
"mobilite";"the ";"mobility";"";""
"niveau.a.et.b.MAY";"";"niveau.a.et.b.MAY";"";""
"niveau.a.et.b.MED";"";"niveau.a.et.b.MED";"";""
"niveau.a.et.b.NC";"";"niveau.a.et.b.NC";"";""
"nocturne";"";"nocturne";"";""
"ObsBA";"";"ObsBA";"";""
"ObsBO";"";"ObsBO";"";""
"ObsCB";"";"ObsCB";"";""
"ObsCR";"";"ObsCR";"";""
"ObsMAY";"";"ObsMAY";"";""
"ObsNC";"";"ObsNC";"";""
"ObsRUN";"";"ObsRUN";"";""
"ObsSTM";"";"ObsSTM";"";""
"Ordre";"";"Order";"";""
"Phylum";"the ";"Phylum";"";""
"poids.moyen.gros";"the ";"poids moyen des gros";"";""
"poids.moyen.moyens";"the ";"poids moyen des moyens";"";""
"poids.moyen.petits";"the ";"poids moyen des petits";"";""
"position.col.eau";"the ";"location in the water column";"";""
"regim.alim";"the ";"diet";"";""
"stat.IUCN";"the ";"IUCN status";"";""
"strategie.demo";"the ";"demographic strategy";"";""
"taille_max_moyens";"the ";"taille max des moyens";"";"cm"
"taille_max_petits";"the ";"taille max des petits";"";"cm"
"taillemax";"the ";"taille maximume";"";"cm"
"TaxoCode";"";"TaxoCode";"";""
"territorial";"";"territorial";"";""
"Type.ponte";"the ";"type de ponte";"";""
"richesse_specifique";"the ";"species richness";"";""
"simpson";"the ";"Simpson´s index";"";""
"l.simpson";"the ";"Simpson´s l";"";""
"pielou";"the ";"Pielou´s index";"";""
"hill";"the ";"Hill´s index";"";""
"RS_relative";"the ";"relative species richness";"";""
"Delta";"the ";"Delta";"";""
"DeltaEtoile";"the ";"Delta*";"";""
"LambdaPlus";"the ";"Lambda+";"";""
"DeltaPlus";"the ";"Delta+";"";""
"SDeltaPlus";"the ";"SDelta+";"";""
"classe_taille";"the ";"size class";"";""
"colonie";"le";"colony number";"";""
"recouvrement";"the ";"percent cover";"";""
"taille_moyenne";"the ";"mean size";"";"cm"
"CategB_general";"the ";"CategB_general";"";""
"CategB_groupe";"the ";"CategB_groupe";"";""
"taille.moy.colonies";"the ";"mean size of colonies";"";"cm"
"RS.relative.site";"the ";"relative species richness (/ species of the site)";"";"'%'"
"RS.relative.site.phylum";"the ";"relative species richness (/ sp. of the site and phylum)";"";"'%'"
"RS.relative.donnees";"the ";"relative species richness (/ sp. from the data)";"";"'%'"
"RS.relative.region";"the ";"relative species richness (/ sp. of the region)";"";"'%'"
"RS.relative.region.phylum";"the ";"relative species richness (/ esp. of the region and phylum)";"";"'%'"
"freq.occurrence";"the ";"Frequency";"";"'%'"
"CPUE";"the ";"CPUE";"";"ind.UE^{-1}"
"CPUEbiomasse";"the ";"CPUE (biomass)";"";"g.UE^{-1}"
"prop.abondance.CL";"the ";"abundance proportions by size class";"";"'%'"
"prop.biomasse.CL";"the ";"biomass proportion by size class";"";"'%'"
"nombreMax";"the ";"maximum number";"";"ind"
