ID;article;nom;genre;unite
agreg.saison;;agreg.saison;;
AMP;the ;MPA;;
an;the ;year;;
annee.campagne;the ;year of campaign;;
autre.statutBA;;autre.statutBA;;
autre.statutBO;;autre.statutBO;;
autre.statutCB;;autre.statutCB;;
autre.statutCR;;autre.statutCR;;
autre.statutMAY;;autre.statutMAY;;
autre.statutNC;;autre.statutNC;;
autre.statutRUN;;autre.statutRUN;;
autre.statutSTM;;autre.statutSTM;;
avant_apres;;before_after;;
biomasse;the ;biomass;;g.100~m^{-2}
biomasseMax;the ;maximum biomass;;g.100~m^{-2}
biomasseSD;the ;biomass  standard error;;
biotope;the ;biotop;;
biotope_2;the ;biotop 2;;
caracteristique_1;the ;characteristic 1;;
caracteristique_2;the ;characteristic 2;;
cas.etude;the ;case study;;
Cat_benthique;the ;catégorie benthique;;
CategB_general;the ;CategB_general;;
CategB_groupe;the ;CategB_groupe;;
Changement.sexe;;Changement.sexe;;
Classe;the ;Class;;
classe_taille;the ;size class;;
code_espece;the ;species code;;
CodeFAO;the ;FAO code;;
CodeFB;the ;FB code;;
CodeSIH;the ;SIH code;;
Coeff.a;;Coeff.a.NC;;
Coeff.a.MAY;;Coeff.a.MAY;;
Coeff.a.Med;;Coeff.a.Med;;
Coeff.a.NC;;Coeff.a.NC;;
Coeff.b;;Coeff.b.MAY;;
Coeff.b.MAY;;Coeff.b.MAY;;
Coeff.b.Med;;Coeff.b.Med;;
Coeff.b.NC;;Coeff.b.NC;;
colonie;le;colony number;;
comportement.grp;;comportement.grp;;
courant;the ;current;;
CPUE;the ;CPUE;;ind.UE^{-1}
CPUEbiomasse;the ;CPUE (biomass);;g.UE^{-1}
cryptique;;cryptic;;
Delta;the ;Delta;;
DeltaEtoile;the ;Delta*;;
DeltaPlus;the ;Delta+;;
densite;the ;density;;ind.100~m^{-2}
densiteMax;the ;maximum density;;ind.100~m^{-2}
densiteSD;the ;density standard error;;
DimObs1;;DimObs1;;
DimObs2;;DimObs2;;
direction_vent;the ;wind direction;;
emblematique;;emblematiqueBA;;
emblematiqueBA;;emblematiqueBA;;
emblematiqueBO;;emblematiqueBO;;
emblematiqueCB;;emblematiqueCB;;
emblematiqueCR;;emblematiqueCR;;
emblematiqueMAY;;emblematiqueMAY;;
emblematiqueNC;;emblematiqueNC;;
emblematiqueRUN;;emblematiqueRUN;;
emblematiqueSTM;;emblematiqueSTM;;
endemique;;endemicBA;;
endemiqueBA;;endemicBA;;
endemiqueBO;;endemicBO;;
endemiqueCB;;endemicCB;;
endemiqueCR;;endemicCR;;
endemiqueMAY;;endemicMAY;;
endemiqueNC;;endemicNC;;
endemiqueRUN;;endemicRUN;;
endemiqueSTM;;endemicSTM;;
espece;;species;;
etat_mer;the ;sea state;;
etat.pop.local;;etat.pop.localBA;;
etat.pop.localBA;;etat.pop.localBA;;
etat.pop.localBO;;etat.pop.localBO;;
etat.pop.localCB;;etat.pop.localCB;;
etat.pop.localCR;;etat.pop.localCR;;
etat.pop.localMAY;;etat.pop.localMAY;;
etat.pop.localNC;;etat.pop.localNC;;
etat.pop.localRUN;;etat.pop.localRUN;;
etat.pop.localSTM;;etat.pop.localSTM;;
Famille;the ;Famille;;
force_vent;the ;wind force;;
fraction_echantillonnee;the ;sampled fraction;;
freq.occurrence;the ;Frequency;;'%'
Genre;the ;Genre;;
GrSIH;the ;Groupe SIH;;
Habitat.Prefere;the ;preferred habitat;;
habitat1;the ;habitat;;
habitat2;the ;habitat 2;;
habitat3;the ;habitat 3;;
heure;the ;hour;;
hill;the ;Hill´s index;;
Identifiant;the ;identifiant;;
interet.casier;;interet.casier;;
interet.casierBA;;interet.casierBA;;
interet.casierBO;;interet.casierBO;;
interet.casierCB;;interet.casierCB;;
interet.casierCR;;interet.casierCR;;
interet.casierMAY;;interet.casierMAY;;
interet.casierNC;;interet.casierNC;;
interet.casierRUN;;interet.casierRUN;;
interet.casierSTM;;interet.casierSTM;;
interet.chasse;;interest for hunting;;
interet.chasseBA;;interet.chasseBA;;
interet.chasseBO;;interet.chasseBO;;
interet.chasseCB;;interet.chasseCB;;
interet.chasseCR;;interet.chasseCR;;
interet.chasseMAY;;interet.chasseMAY;;
interet.chasseNC;;interet.chasseNC;;
interet.chasseRUN;;interet.chasseRUN;;
interet.chasseSTM;;interet.chasseSTM;;
interet.filet;;interet.filet;;
interet.filetBA;;interet.filetBA;;
interet.filetBO;;interet.filetBO;;
interet.filetCB;;interet.filetCB;;
interet.filetCR;;interet.filetCR;;
interet.filetMAY;;interet.filetMAY;;
interet.filetNC;;interet.filetNC;;
interet.filetRUN;;interet.filetRUN;;
interet.filetSTM;;interet.filetSTM;;
interet.ligne;;interet.ligne;;
interet.ligneBA;;interet.ligneBA;;
interet.ligneBO;;interet.ligneBO;;
interet.ligneCB;;interet.ligneCB;;
interet.ligneCR;;interet.ligneCR;;
interet.ligneMAY;;interet.ligneMAY;;
interet.ligneNC;;interet.ligneNC;;
interet.ligneRUN;;interet.ligneRUN;;
interet.ligneSTM;;interet.ligneSTM;;
interet.pied;;interet.pied;;
interet.piedBA;;interet.piedBA;;
interet.piedBO;;interet.piedBO;;
interet.piedCB;;interet.piedCB;;
interet.piedCR;;interet.piedCR;;
interet.piedMAY;;interet.piedMAY;;
interet.piedNC;;interet.piedNC;;
interet.piedRUN;;interet.piedRUN;;
interet.piedSTM;;interet.piedSTM;;
interetComMAY;;interetComMAY;;
interetCommercial;;interetCommercial;;
IssCaap;;IssCaap;;
jour;the ;day;;
l.simpson;the ;Simpson´s l;;
L50;the ;L50;;
LambdaPlus;the ;Lambda+;;
latitude;the ;latitude;;
longitude;the ;longitude;;
maree;the ;tide;;
mobilite;the ;mobility;;
mois;the ;month;;
nb_plong;the ;number of divers;;
nebulosite;the ;nébulosité;;
niveau.a.et.b;;niveau.a.et.b;;
niveau.a.et.b.MAY;;niveau.a.et.b.MAY;;
niveau.a.et.b.MED;;niveau.a.et.b.MED;;
niveau.a.et.b.NC;;niveau.a.et.b.NC;;
nocturne;;nocturne;;
nombre;the ;number;;ind
nombreMax;the ;maximum number;;ind
nombreSD;the ;number standard error;;
ObsBA;;ObsBA;;
ObsBO;;ObsBO;;
ObsCB;;ObsCB;;
